Person,1998,1999,2006,2008,2009,2010,2011,2012,2013,2014,2015,Total
Песковская Юлия Анатольевна,,,726 541,,,4 784 260,,,,,,5 510 801
Петров Сергей Валериевич,,,2 385 174,,,97 114 531,206 944 527,143 815 382,202 625 106,54 223 443,133 441 848,840 550 011
Пехтин Владимир Алексеевич,,,39 248 845,,,4 410 235,2 317 359,,,,,45 976 439
Пивненко Валентина Николаевна,,,1 248 306,,,8 968 399,2 338 999,5 373 569,3 731 116,5 495 794,6 936 732,34 092 914
Гончар Николай Николаевич,,,1 224 150,,2 057 466,6 149 920,2 329 191,2 241 283,2 747 666,4 285 887,4 989 392,26 024 956
Гончаров Николай Владимирович,,,334 389,,,2 842 307,,,,,,3 176 696
Гридин Владимир Григорьевич,,,6 242 281,,2 990 596,4 123 392,2 739 619,65 476 161,27 148 660,,,108 720 709
Гришанков Михаил Игнатьевич,,,1 377 405,,4 251 992,5 604 088,,,,,,11 233 485
Грызлов Борис Вячеславович,,,1 761 882,,16 060 553,7 543 020,,,,,,25 365 455
Гутенев Владимир Владимирович,,,,,,5 726 356,9 158 660,16 779 394,5 540 105,8 424 883,8 549 229,54 178 626
Делимханов Адам Султанович,,,505 469,,1 958 596,3 923 680,2 149 955,2 749 939,3 227 235,3 882 888,4 735 560,23 133 323
Демченко Иван Иванович,,,300 000,,2 058 636,4 075 282,59 655 947,2 521 512,55 969 560,17 783 578,4 755 087,147 119 603
Саблин Дмитрий Вадимович,,,1 207 264,,,155 463 599,43 248 397,544 253 021,45 002 088,116 983 558,150 861 136,1 057 019 063
Школкина Надежда Васильевна,,,2 173 448,,,21 933 349,16 095 083,12 290 874,17 966 035,23 134 026,32 619 546,126 212 361
Савельев Дмитрий Владимирович,,,1 207 264,,,29 563 528,79 506 323,94 612 561,156 824 397,182 150 244,173 809 707,717 674 024
Шишкин Александр Геннадьевич,,,13 303 000,,,119 711 736,,55 258 502,20 505 204,14 784 708,12 867 018,236 430 168
Шихсаидов Хизри Исаевич,,,705 537,,,4 465 713,2 233 279,,,2 486 533,2 211 509,12 102 570
Самойлов Евгений Александрович,,,848 565,,2 030 861,4 383 131,2 079 250,10 018 503,2 564 397,,,21 924 707
Сарычев Александр Дмитриевич,,,1 259 764,,,5 318 182,,,,,,6 577 946
Шаккум Мартин Люцианович,,,1 216 999,,2 040 196,3 944 986,7 544 393,9 696 006,38 172 794,9 439 914,6 367 775,78 423 064
Друсинов Валентин Дмитриевич,,,2 833 264,,2 975 229,4 482 327,,,,,,10 290 820
Езубов Алексей Петрович,,,3 554 319,,3 631 328,4 810 130,2 514 271,9 844 708,4 759 555,7 044 517,5 387 215,41 546 043
Железняк Сергей Владимирович,,,3 330 896,,2 598 006,20 045 366,3 434 259,4 702 702,3 016 648,4 557 218,4 754 325,46 439 421
Жолобов Олег Владимирович,,,1 737 489,,2 835 954,4 596 182,,,,,,9 169 625
Журова Светлана Сергеевна,,,153 297,,2 138 596,5 037 076,,3 884 457,3 469 515,4 278 399,4 346 238,23 307 578
Заварзин Виктор Михайлович,,,1 207 264,,2 414 238,4 781 129,2 538 225,4 531 890,3 558 555,5 204 985,6 059 720,30 296 005
Зубарев Виктор Владиславович,,,1 586 887,,8 446 890,21 433 374,,10 906 136,27 589 276,7 963 528,2 996 978,80 923 069
Сафаралиев Гаджимет Керимович,,,1 759 312,,,8 518 640,5 533 788,6 153 053,7 812 993,6 237 485,6 949 837,42 965 109
Семёнов Виктор Александрович,1 304 500,,18 535 744,,,152 817 997,,,,,,172 658 241
Семёнова Екатерина Юрьевна,,,865 860,,6 441 481,7 314 509,12 826 134,,,,,27 447 984
Серебров Лев Борисович,,,171 050,,,4 374 930,,,,,,4 545 980
Скоч Андрей Владимирович,,,1 207 264,,,41 805 380,1 905 089,285 790 285,159 045 992,209 377 423,276 312 567,975 444 000
Соколова Ирина Валерьевна,,,171 319,,,8 494 981,7 403 875,8 664 898,13 154 099,13 415 769,21 561 344,72 866 284
Степанова Зоя Михайловна,,,1 207 272,,,6 624 197,5 256 270,5 669 829,6 689 459,10 196 150,9 964 705,45 607 882
Юсупов Марсель Харисович,,,1 229 234,,,20 447 262,39 664 707,36 548 067,51 728 871,21 246 998,17 876 653,188 741 793
Скруг Валерий Степанович,,,2 675 936,,,18 678 956,,,,22 379 773,2 803 770,46 538 435
Тарасенко Михаил Васильевич,,,972 311,,,5 593 378,3 071 897,3 956 200,4 488 074,4 886 906,5 780 468,28 749 234
Сутягинский Михаил Александрович,,,912 503,,,22 724 292,,,,,,23 636 795
Терентьев Михаил Борисович,,,3 012 168,,,5 294 598,5 588 306,2 869 448,3 341 768,4 728 146,5 620 689,30 455 123
Тимченко Вячеслав Степанович,,,1 393 566,,,7 481 824,3 718 112,2 959 939,18 805 501,4 723 568,7 634 249,46 716 759
Скоробогатько Александр Иванович,,,5 356 456,,,4 361 542,1 885 741,30 586 832,7 461 492,3 826 772,745 188 473,798 667 308
Симановский Леонид Яковлевич,,,196 689 766,,,714 772 457,295 225 962,419 381 316,586 277 634,376 248 748,939 269 294,3 527 865 177
Третьяк Владислав Александрович,,,1 338 600,,,9 448 696,6 970 157,8 474 180,5 296 838,9 563 199,12 458 029,53 549 699
Сибагатуллин Фатих Саубанович,,,1 069 399,,,6 185 373,2 863 598,35 172 270,14 418 370,39 413 835,14 243 204,113 366 049
Толстопятов Василий Васильевич,,,3 315 941,,,11 310 418,9 020 928,,,,,23 647 287
Зубицкий Борис Давыдович,,,659 121 862,,423 923 051,3 814 789 490,680 899 528,89 884 733,58 577 704,679 616 568,183 418 881,6 590 231 818
Игошин Игорь Николаевич,,,1 207 264,,1 958 596,3 923 680,5 762 455,2 284 777,3 158 015,3 882 888,4 735 560,26 913 236
Изотова Галина Сергеевна,,,1 292 491,,2 338 939,8 035 873,,,,,,11 667 303
Исаев Андрей Константинович,87 317,,1 239 847,,2 319 270,4 633 026,4 740 590,24 711 728,23 075 770,5 366 053,6 717 450,72 891 050
Исаев Ризвангаджи Абдулаевич,,,1 663 152,,98 700 143,46 369 371,,,,,,146 732 666
Водолацкий Виктор Петрович,,,910 859,,2 875 890,4 041 941,,3 483 931,4 862 099,4 706 713,5 729 579,26 611 011
Воробьев  Андрей Юрьевич,,,1 207 264,,1 981 854,21 540 856,17 947 121,76 976 641,34 540 153,9 308 790,28 744 379,192 247 057
Ткачев Алексей Николаевич,,,1 247 570,,,9 615 257,7 882 440,8 366 116,8 592 028,9 496 692,11 598 225,56 798 328
Глубоковская Эльмира Гусейновна,,,0,,4 585 797,7 937 554,6 431 641,22 001 021,9 785 545,14 966 405,12 271 876,77 979 838
Касьянов Игорь Николаевич,,,1 530 623,,1 958 596,3 923 680,,,,,,7 412 899
Старшинов Михаил Евгеньевич,,,132 965,,,3 897 243,1 938 715,2 001 751,4 977 235,3 882 888,4 735 560,21 566 358
Шестаков Василий Борисович,,,1 520 742,,,19 521 379,6 995 873,10 801 028,2 670 861,7 118 498,6 206 897,54 835 278
Туголуков Евгений Александрович,,,37 979 697,,,217 573 795,,,,,,255 553 492
Чижов Сергей Викторович,,,1 207 264,,,58 534 464,2 166 406,50 061 747,7 503 850,3 882 888,4 735 561,128 092 180
Чайка Валентин Васильевич,,,1 207 264,,,4 142 200,,1 761 392,3 025 280,4 423 857,5 350 567,19 910 561
Хоркина  Светлана  Васильевна,,,331 214,,,7 708 464,,,,,,8 039 678
Хор Глеб Яковлевич,,,49 055 157,,,28 917 931,8 708 187,11 551 188,186 754 655,30 152 992,37 898 731,353 038 840
Хинштейн Александр Евсеевич,,,3 235 915,,,8 195 189,5 621 411,2 661 287,4 322 661,8 057 888,7 221 398,39 315 749
Хамчиев Белан Багаудинович,,,700 569,,,37 324 387,194 771 509,28 762 136,33 815 052,18 888 592,4 775 274,319 037 519
Хайруллин Айрат Назипович,,,597 948 763,,,282 319 475,206 280 333,207 177 347,246 911 681,208 274 549,225 746 603,1 974 658 752
Фокин Александр Иванович,,,1 239 694,,,3 912 875,1 970 803,,4 408 454,18 409 052,5 256 313,35 197 192
Федоров Евгений Алексеевич,,,1 492 869,,,9 449 979,3 354 350,2 819 375,3 214 905,4 747 291,5 435 036,30 513 804
Фахритдинов Иршат Юнирович,,,572 148,,,5 598 337,4 040 978,4 375 820,3 523 362,4 932 128,5 686 774,28 729 546
Савченко Олег Владимирович,,,1 207 264,,2 233 201,4 024 438,16 637 294,6 780 726,3 942 234,27 660 020,27 021 458,89 506 635
Шойгу Лариса Кужугетовна,,,361 744,,,4 574 949,2 581 222,2 890 902,3 719 462,5 218 044,6 941 573,26 287 896
Ананов Никита Георгиевич,,,,,,2 385 540,,,,,,2 385 540
Антипов Сергей Николаевич,,,,,,2 081 580,,,4 285 275,2 403 011,2 324 152,11 094 018
Бабич Елена Владимировна,,,,,,1 927 780,,,,,,1 927 780
Волчек Геннадий Борисович,,,,,,2 528 190,,,9 328 611,10 100 701,11 793 301,33 750 802
Озеров Геннадий Дмитриевич,,,,,,3 811 051,,,,,,3 811 051
Сухенко Константин Эдуардович,,,,,,1 615 498,,,2 274 810,2 445 554,,6 335 862
Максюта Николай Кириллович,,,,,2 420 909,,2 243 379,2 326 187,3 129 404,,,10 119 879
Нарышкин Сергей Евгеньевич,,,,9 713 100,6 809 119,10 600 535,6 188 941,5 868 211,4 388 359,11 774 582,11 991 810,67 334 657
Сердюк Михаил Иванович,,,,,,445 096,74 209 103,14 169 460,15 632 420,38 038 192,56 015 657,198 509 927
Ушаков Геннадий Владимирович,,,,,,706 609,,,,0,504 415,1 211 024
Петухова Наталья Рэмовна,,,,,,851 741,846 410,3 313 847,3 152 745,4 470 473,5 392 928,18 028 144
Нилов Олег Анатольевич,,,,,,3 073 288,1 577 106,2 789 211,2 562 588,3 890 958,4 735 560,18 628 711
Агеев Александр Александрович,,,,,,1 440 397,994 940,3 425 431,6 477 235,10 882 888,4 735 560,27 956 451
Швецов Василий Георгиевич,,,,,,1 104 464,2 273 200,2 396 722,2 973 991,4 507 284,5 400 149,18 655 810
Зотов Игорь Львович,,,,,,1 487 806,1 990 115,2 958 957,3 544 496,4 830 761,6 204 195,21 016 331
Казаков Алексей Валерьевич,,,,,,607 589,372 984,2 208 535,2 732 187,6 038 821,4 835 560,16 795 676
Носовко Геннадий Сергеевич,,,,,,2 860 677,6 055 517,8 703 173,2 707 235,3 867 585,96 499 681,120 693 869
Полещиков Алексей Евгеньевич,,,,,,243 341,,,,,,243 341
Гудков Дмитрий Геннадьевич,,,,,,600 000,759 136,2 420 313,25 977 235,6 782 888,5 925 013,42 464 586
Гасанов Джамаладин Набиевич,,,,,2 894 837,4 860 533,2 725 060,2 826 199,2 562 165,3 882 888,5 940 539,25 692 221
Шеин Анатолий Алексеевич,,,,,,2 070 847,14 595 838,14 556 227,15 923 523,22 596 183,21 738 818,91 481 435
Кузьмина Наталия Борисовна,,,,,,33 663 773,,,,,,33 663 773
Москалькова Татьяна Николаевна,,,,,,4 258 303,2 101 216,2 570 446,2 841 863,18 449 941,12 209 741,42 431 510
Романович Александр Леонидович,,,,,2 674 277,1 804 551,5 550 692,6 961 200,2 575 484,14 027 630,5 252 378,38 846 212
Курочкин  Антон  Анатольевич,,,,,,300 000,,,,1 067 337,,1 367 337
Горовцов Дмитрий Евгеньевич,,,,,,482 172,468 908,2 082 326,2 566 319,4 013 653,4 853 566,14 466 943
Ванчугов Роман Анатольевич,,,,,,29 384 652,2 821 715,5 957 053,2 477 235,3 882 888,4 735 560,49 259 103
Доронин Сергей Александрович,,,,,,21 694 191,25 573 141,10 526 360,2 477 235,3 882 888,4 735 560,68 889 376
Брячак Михаил Васильевич,,,,,,126 000,309 078,2 172 120,2 645 463,4 066 717,7 773 764,17 093 143
Крутов Андрей Дмитриевич,,,,,,405 775,404 617,2 087 675,2 528 446,3 905 157,4 744 235,14 075 906
