Person,1998,1999,2006,2008,2009,2010,2011,2012,2013,2014,2015,Total
Кокошин Андрей Афанасьевич,278 679,,1 750 668,,9 203 922,18 940 145,,,,,,30 173 414
Косачев Константин Иосифович,,,1 251 900,,2 655 215,4 997 072,,66 094 850,29 976 860,3 993 854,5 094 329,114 064 080
Кравченко Валерий Николаевич,,,12 077 264,,2 356 840,4 175 362,2 629 732,2 721 428,3 567 160,4 865 287,5 902 728,38 295 802
Крашенинников Павел Владимирович,82 429,,1 599 680,,2 811 862,5 654 357,5 835 259,23 866 545,3 781 671,5 931 880,5 645 088,55 208 772
Крупенников Владимир Александрович,,,179 394,,,530 239,2 341 527,3 943 078,3 671 954,11 422 750,5 810 146,27 899 088
Кузьмичева Екатерина Ивановна,,,2 542 723,,2 986 819,5 355 224,8 102 888,3 374 119,13 237 275,5 930 190,6 794 523,48 323 761
Кулик Геннадий Васильевич,124 469,,1 387 264,,3 222 107,6 265 602,4 333 504,3 692 179,5 419 066,34 948 912,8 032 291,67 425 394
Лапшина Елена Николаевна,,,85 957,,,374 171,,,,,,460 128
Лахова Екатерина Филипповна,136 956,,1 248 559,,2 962 917,5 181 451,2 967 520,10 239 694,5 036 842,6 927 844,8 220 948,42 922 731
Лебедев Олег Владимирович,,,1 337 472,,2 090 570,4 258 411,2 349 267,40 396 162,4 370 634,4 816 457,6 631 012,66 249 986
Липатов Юрий Александрович,,,35 364 946,,2 688 843,8 799 198,3 339 919,8 070 139,5 990 359,6 719 348,11 349 277,82 322 028
Плигин Владимир Николаевич,,,3 692 379,,,19 858 784,8 538 762,9 251 471,12 150 979,47 228 253,15 962 738,116 683 367
Макаров Андрей Михайлович,,,1 207 264,,,53 119 415,82 948 922,97 632 848,109 045 348,3 959 692,4 822 109,352 735 597
Попов Сергей Александрович,,,1 246 845,,,5 998 306,3 163 799,3 673 880,4 122 922,5 743 048,7 117 677,31 066 477
Максимова Надежда Сергеевна,,,1 261 964,,,5 155 277,2 650 096,2 650 943,3 105 475,4 420 898,5 310 466,24 555 119
Резник Борис Львович,,,1 228 721,,,7 997 394,15 150 967,19 246 188,16 231 233,13 763 607,12 772 254,86 390 363
Малашенко Виктор Александрович,,,1 095 449,,,4 400 912,,,,4 793 210,5 191 169,15 480 740
Мединский Владимир Ростиславович,,,5 300 165,,,68 297 555,,12 498 826,97 170 033,98 201 594,38 574 559,320 042 732
Резник Владислав Матусович,,,1 162 942 060,,,1 135 053 024,572 491 270,316 742 149,292 180 309,451 066 026,72 921 594,4 003 396 432
Васильев Юрий Викторович,,,1 207 797,,2 232 238,5 338 663,2 972 753,3 409 001,4 430 364,7 257 966,8 150 570,34 999 351
Роднина Ирина Константиновна,,,404 316,,,5 145 919,2 615 720,2 702 162,3 437 901,4 986 717,7 601 281,26 894 016
Руденский Игорь Николаевич,,,1 207 264,,,4 178 033,2 245 260,2 478 651,2 488 033,3 891 635,4 735 560,21 224 435
Савченко Евгений Степанович,,,,,1 674 833,3 362 286,1 858 151,2 043 816,2 182 469,2 316 191,2 676 266,16 114 011
Вахаев Хож Магомед Хумайдович,,,1 116 664,,2 489 493,4 405 477,2 589 677,2 562 456,3 096 082,4 399 103,5 685 542,26 344 494
Волков Юрий Николаевич,,,1 217 115,,442 479 130,54 157 371,25 611 883,28 129 212,17 332 585,29 803 319,45 435 953,644 166 566
Вяткин Дмитрий Федорович,,,1 276 768,,3 517 473,4 053 019,9 670 958,32 666 805,2 715 908,4 228 205,5 316 814,63 445 951
Габдрахманов Ильдар Нуруллович,,,1 703 700,,,5 978 515,2 494 942,,,8 460 374,47 948 748,66 586 279
Гаджиев Магомед Тажудинович,,,1 207 264,,1 958 596,3 923 680,1 962 455,1 999 939,2 591 596,4 630 328,5 935 274,24 209 131
Гальченко Валерий Владимирович,,,3 311 565,,1 687 102,5 800 750,4 683 963,5 401 536,5 481 318,4 261 194,4 998 895,35 626 322
Гасанов Магомедкади Набиевич,,,1 207 264,,1 958 596,3 923 680,1 946 274,1 999 939,2 477 235,3 882 888,4 735 560,22 131 437
Герасименко Николай Федорович,,,1 869 922,,3 018 816,3 229 711,3 303 488,14 503 449,4 563 499,5 916 532,7 715 956,44 121 373
Герасимова Надежда Васильевна,,,1 032 557,,3 017 690,5 267 433,2 747 851,2 860 964,4 576 404,5 014 578,6 424 151,30 941 628
Гильмутдинов Ильдар Ирекович,,,1 308 505,,2 994 187,5 315 123,3 080 482,5 090 596,4 600 158,6 294 051,8 004 081,36 687 184
Говорухин Станислав Сергеевич,252 663,3 124 206,1 489 477,,2 070 533,7 801 677,2 721 737,3 591 787,7 709 600,12 650 360,19 945 126,61 357 166
Голиков Георгий Георгиевич,,,1 292 264,,3 069 452,5 480 085,,,,,,9 841 801
Головнёв Владимир Александрович,,,269 920,,9 747 346,4 264 939,,,,,,14 282 205
Голушко Андрей Иванович,,,13 425 911,,11 221 085,33 850 070,,,34 986 278,30 974 666,20 104 679,144 562 689
Гольдштейн Ростислав Эрнстович,,,769 476,,23 958 596,25 923 680,29 595 732,25 712 828,13 123 795,11 659 830,8 565 664,139 309 601
Янаков  Эдуард  Якимович,,,12 173 860,,,50 893 510,,,,,,63 067 370
Яковлева  Татьяна  Владимировна,,,1 216 642,,,4 672 711,2 583 002,4 127 739,7 571 535,5 942 975,5 126 264,31 240 868
Яковлева Лариса Николаевна,,,364 929,,,4 572 174,,,2 959 355,5 425 183,5 257 390,18 579 031
